a lot of,たくさんの,Phrase
at noon,正午に,Phrase
be interested in,に興味がある,Phrase
be(get) exited,興奮する,Phrase
between A and B,AとBの間,Phrase
by bus,バスで,Phrase
by car,車で,Phrase
check ～ out,を確認する,Phrase
check in,チェックインする,Phrase
check out,チェックアウトする,Phrase
come into,へ来る,Phrase
come to,へ来る,Phrase
elementary school,小学校,Phrase
entrance ceremony,入学式,Phrase
farewell party,送別会,Phrase
field trip,遠足,Phrase
for here,ここで(食べる),Phrase
get up,起きる,Phrase
go back to,に戻る,Phrase
go straight,まっすぐ行く,Phrase
go to,へ行く,Phrase
have a good day,良い一日を,Phrase
have a headache,頭痛がする,Phrase
help with,を助ける,Phrase
high school,高校,Phrase
How about,はどうですか？,Phrase
junior high school,中学校,Phrase
learn a lot from,からたくさん学ぶ,Phrase
learn about,について学ぶ,Phrase
listen to,聴く,Phrase
look at,見る,Phrase
member of,のメンバー,Phrase
on the way,道の途中で,Phrase
on weekends,週末に,Phrase
on your left,左側に,Phrase
on your right,右側に,Phrase
say again,もう一度言う,Phrase
school festival,文化祭,Phrase
sit down,座る,Phrase
stand up,立つ,Phrase
stay up,起きている,Phrase
take a rest,休憩する,Phrase
take back,持ち帰る,Phrase
take out,持ち帰り,Phrase
to go,持ち帰り,Phrase
wait for,を待つ,Phrase
walk to,へ歩いていく,Phrase
with a smile,笑顔で,Phrase
worry about,について心配する,Phrase
write down,書く,Phrase
a few,いくらかの,Phrase
and so on,などなど,Phrase
arrive at,に到着する,Phrase
ask 人 about,人に～について聞く,Phrase
ask 人 for,人に求める,Phrase
be born,生まれる,Phrase
be famous for,で有名である,Phrase
be scared of,が怖い,Phrase
call back,折り返し電話する,Phrase
decide to,に決める,Phrase
even so,それでも,Phrase
every minutes,毎分ごとに,Phrase
for example,例えば,Phrase
foreign language,外国語,Phrase
from ～ to ～,～から～まで,Phrase
from now on,これから,Phrase
from the experience,経験から,Phrase
get along with,うまくやる,Phrase
get tired,疲れる,Phrase
go abroad,外国に行く,Phrase
have a sale,セールする,Phrase
in the future,将来に,Phrase
keep in touch,連絡を取り合う,Phrase
kind to,に対して親切な,Phrase
knock at,をノックする,Phrase
leave for,へ出かける,Phrase
Let us(Let's),～しましょう,Phrase
live abroad,海外で生活する,Phrase
look after,の面倒を見る,Phrase
make own bed,ベッドを整える,Phrase
most of,のほとんど,Phrase
on stage,ステージで,Phrase
on the wall,壁に,Phrase
one day,ある日,Phrase
over there,あそこに,Phrase
search for,を探索する,Phrase
show 人 around,人に見せて回る,Phrase
someone in need,助けが必要な人,Phrase
stand by,そばに立つ,Phrase
stationary shop,文房具店,Phrase
take care of,の面倒を見る,Phrase
take it back,取り戻す,Phrase
talk about,について話す,Phrase
talk to,に話しかける,Phrase
think of,思い付く,Phrase
too ～ for,～すぎる,Phrase
try hard,一生懸命に,Phrase
try on,試着する,Phrase
try to,しようとする,Phrase
work for,のために働く,Phrase
as a whole,全体で,Phrase
a second,少しの間,Phrase
according to,によれば,Phrase
after a while,しばらくして,Phrase
agree to,を承諾する,Phrase
agree with,に賛成である,Phrase
all day long,一日中,Phrase
all over,の至る所に,Phrase
an average of,の平均,Phrase
as a result of,の結果,Phrase
as soon as possible,できるだけ早く,Phrase
as usual,いつものように,Phrase
as well,同様に,Phrase
at first,最初は,Phrase
at last,ついに,Phrase
at least,少なくとも,Phrase
at most,多くとも,Phrase
at that time,あの時は,Phrase
be about to,する直前である,Phrase
be afraid of,を恐れる,Phrase
be aware of,に気づいている,Phrase
be concerned with,とかかわりがある,Phrase
be different from,とは異なる,Phrase
be familiar with,に馴染みがある,Phrase
be full of,でいっぱいである,Phrase
be in need of,を必要とする,Phrase
be in trouble,困っている,Phrase
be known as,として知られている,Phrase
be likely to,する可能性が高い,Phrase
be made of,で出来ている,Phrase
be responsible for,に対して責任がある,Phrase
be satisfied with,に満足している,Phrase
be sick/tired of,にうんざりしてる,Phrase
believe in,を信じる,Phrase
believe it or not,信じられないだろうけど,Phrase
belong to,に属している,Phrase
both of,二人（二つ）とも,Phrase
by the way,ところで,Phrase
care for,の面倒を見る,Phrase
change trains,電車を乗り換える,Phrase
count on,を当てにする,Phrase
day after day,毎日,Phrase
"day in, day out",来る日も来る日も,Phrase
depend on,に依存する,Phrase
do a favor,に頼み事を聞く,Phrase
drop by,に立ち寄る,Phrase
enough to,するのに十分,Phrase
example of,の例,Phrase
fall asleep,眠る,Phrase
fall in love with,に恋をする,Phrase
feel free to,気軽にする,Phrase
fill in,に必要事項を記入する,Phrase
for a while,しばらくの間,Phrase
for free,無料で,Phrase
for instance,例えば,Phrase
for the better,より良くなるために,Phrase
from A to B,AからBまで,Phrase
from now,これからは,Phrase
get attention,注意を引く,Phrase
get lost,道に迷う,Phrase
get off,降りる,Phrase
get on,乗り込む,Phrase
get out of,の外に出る,Phrase
get rid of,を取り除く,Phrase
give a ride,を車に乗せる,Phrase
give up,をあきらめる,Phrase
go ahead,先に行く,Phrase
go on a trip,旅行に行く,Phrase
hear from,から連絡をもらう,Phrase
in a hurry,急いで,Phrase
in addition to,に付け加えて,Phrase
in advance,前もって,Phrase
in case ～,～した場合には,Phrase
in conclusion,結論として,Phrase
in detail,詳細に,Phrase
in fact,実際には,Phrase
in front of,の前に,Phrase
instead of,の代わりに,Phrase
just in case,もしもの場合に備えて,Phrase
less than,未満,Phrase
lots of,たくさんの,Phrase
next to,の隣に,Phrase
not  at all,全くない,Phrase
on foot,歩いて,Phrase
on the other hand,一方で,Phrase
out of order,故障して,Phrase
prefer A to B,BよりAを好む,Phrase
rather than,ではなく,Phrase
run away,逃げ去る,Phrase
so that ～,するために,Phrase
stop at,に停まる,Phrase
such as,のような,Phrase
too ～ to ～,～するには～すぎる,Phrase
turn  off,を消す,Phrase
turn  on,を点ける,Phrase
up to,まで,Phrase
Why don't you ～?,～してはどうですか？,Phrase
as a result,結果として，その結果(接続詞),(接続詞)
look up,を調べる(熟語),(熟語)
available,利用できる，使用可能な(形容詞),(形容詞)
in the past,過去に(熟語),(熟語)
nowadays,最近，近頃(副詞),(副詞)
information,情報(名詞),(名詞)
gain,得る，獲得する(動詞),(動詞)
traditional,伝統的な，慣習的な(形容詞),(形容詞)
quality,質，特性(名詞),(名詞)
improve,を改善する，改良する(動詞),(動詞)
however,しかしながら，どんなに～でも(副詞),(副詞)
collect,集める，収集する(動詞),(動詞)
extra,余分の，特別の(形容詞),(形容詞)
clothing,衣料品，服(名詞),(名詞)
comfortable,心地の良い，快適な(形容詞),(形容詞)
disappoint,がっかりさせる，失望させる(動詞),(動詞)
instead,代わりに，その代わり(副詞),(副詞)
originally,はじめは，元々は(副詞),(副詞)
take part in,に参加する，参与する(熟語),(熟語)
dress up,着飾る(熟語),(熟語)
certainly,確かに，間違いなく(副詞),(副詞)
find out,見つけ出す(熟語),(熟語)
come up with,を思いつく，を考え出す(熟語),(熟語)
company,会社(名詞),(名詞)
details,詳細，詳しく説明する(名詞),(名詞)
melt,溶ける，を溶かす(動詞),(動詞)
direction,方向，方角(名詞),(名詞)
injury,怪我，負傷(名詞),(名詞)
silence,沈黙(名詞),(名詞)
tight,狭い，締まった(形容詞),(形容詞)
protect,を守る，保護する(動詞),(動詞)
sharp,鋭い，先鋭的な(形容詞),(形容詞)
behind,背後に，後方に(副詞),(副詞)
bother,面倒，迷惑をかける(動詞),(動詞)
emergency,緊急，急ぎ(名詞),(名詞)
waste,を浪費する/浪費，廃棄物(名詞),(名詞)
amount,量，額(名詞),(名詞)
advantage,有利，利点(名詞),(名詞)
object,物体，実体(名詞),(名詞)
add,足し算する，合計する(動詞),(動詞)
surface,表面，水面(名詞),(名詞)
destroy,を破壊する，を壊す(動詞),(動詞)
knowledge,知識，学識(名詞),(名詞)
continue,をし続ける，続ける(動詞),(動詞)
immediately,即座に，直ちに(副詞),(副詞)
correct,正確な/を訂正する(形容詞),(形容詞)
government,政府，行政府，内閣(名詞),(名詞)
raise,を上げる，持ち上げる(動詞),(動詞)
hurt,を傷つける(動詞),(動詞)
experiment,実験，試み(名詞),(名詞)
fail,失敗する，うまくいかない(動詞),(動詞)
material,材料，原料(名詞),(名詞)
recently,最近，このごろ(副詞),(副詞)
spread,を広げる，広がる(動詞),(動詞)
traffic,交通，運輸(名詞),(名詞)
modern,現代的な，現代の(形容詞),(形容詞)
reduce,を減らす，縮小する(動詞),(動詞)
distance,距離，間隔(名詞),(名詞)
opportunity,機会，好機(名詞),(名詞)
activity,活動(名詞),(名詞)
abroad,外国で，外国へ(副詞),(副詞)
prefer,より好む，好む(動詞),(動詞)
mention,言及する，参照する(動詞),(動詞)
although,だけれども，しかし(接続詞),(接続詞)
climate,気候，天候(名詞),(名詞)
condition,状態，条件，情勢(名詞),(名詞)
impression,印象，感じ(名詞),(名詞)
item,項目，要点(名詞),(名詞)
profit,利益，もうけ(名詞),(名詞)
survey,調査/を見渡す(名詞),(名詞)
sink,沈む，沈没する(動詞),(動詞)
illness,病気，疾患(名詞),(名詞)
flavor,風味，味(名詞),(名詞)
expert,専門家(名詞),(名詞)
borrow,を借りる，を借用する(動詞),(動詞)
