a lot of,たくさんの,Phrase
at noon,正午に,Phrase
be interested in,に興味がある,Phrase
between A and B,AとBの間,Phrase
by bus,バスで,Phrase
by car,車で,Phrase
check ～ out,を確認する,Phrase
check in,チェックインする,Phrase
check out,チェックアウトする,Phrase
come into,へ来る,Phrase
come to,へ来る,Phrase
elementary school,小学校,Phrase
entrance ceremony,入学式,Phrase
farewell party,送別会,Phrase
field trip,遠足,Phrase
for here,ここで(食べる),Phrase
get up,起きる,Phrase
go back to,に戻る,Phrase
go straight,まっすぐ行く,Phrase
go to,へ行く,Phrase
have a good day,良い一日を,Phrase
have a headache,頭痛がする,Phrase
help with,を助ける,Phrase
high school,高校,Phrase
How about,はどうですか？,Phrase
junior high school,中学校,Phrase
learn a lot from,からたくさん学ぶ,Phrase
learn about,について学ぶ,Phrase
listen to,聴く,Phrase
look at,見る,Phrase
member of,のメンバー,Phrase
on the way,道の途中で,Phrase
on weekends,週末に,Phrase
on your left,左側に,Phrase
on your right,右側に,Phrase
say again,もう一度言う,Phrase
school festival,文化祭,Phrase
sit down,座る,Phrase
stand up,立つ,Phrase
stay up,起きている,Phrase
take a rest,休憩する,Phrase
take back,持ち帰る,Phrase
take out,持ち帰り,Phrase
to go,持ち帰り,Phrase
wait for,を待つ,Phrase
walk to,へ歩いていく,Phrase
with a smile,笑顔で,Phrase
worry about,について心配する,Phrase
write down,書く,Phrase
a few,いくらかの,Phrase
and so on,などなど,Phrase
arrive at,に到着する,Phrase
ask 人 about,人に～について聞く,Phrase
ask 人 for,人に求める,Phrase
be born,生まれる,Phrase
be famous for,で有名である,Phrase
be scared of,が怖い,Phrase
call back,折り返し電話する,Phrase
decide to,に決める,Phrase
even so,それでも,Phrase
for example,例えば,Phrase
foreign language,外国語,Phrase
from ～ to ～,～から～まで,Phrase
from now on,これから,Phrase
from the experience,経験から,Phrase
get along with,うまくやる,Phrase
get tired,疲れる,Phrase
go abroad,外国に行く,Phrase
have a sale,セールする,Phrase
in the future,将来に,Phrase
keep in touch,連絡を取り合う,Phrase
kind to,に対して親切な,Phrase
knock at,をノックする,Phrase
leave for,へ出かける,Phrase
live abroad,海外で生活する,Phrase
look after,の面倒を見る,Phrase
make own bed,ベッドを整える,Phrase
most of,のほとんど,Phrase
on stage,ステージで,Phrase
on the wall,壁に,Phrase
one day,ある日,Phrase
over there,あそこに,Phrase
search for,を探索する,Phrase
someone in need,助けが必要な人,Phrase
stand by,そばに立つ,Phrase
stationary shop,文房具店,Phrase
take care of,の面倒を見る,Phrase
take it back,取り戻す,Phrase
talk about,について話す,Phrase
talk to,に話しかける,Phrase
think of,思い付く,Phrase
try hard,一生懸命に,Phrase
try on,試着する,Phrase
try to,しようとする,Phrase
work for,のために働く,Phrase
as a whole,全体で,Phrase
according to,によれば,Phrase
after a while,しばらくして,Phrase
agree to,を承諾する,Phrase
agree with,に賛成である,Phrase
all day long,一日中,Phrase
all over,の至る所に,Phrase
an average of,の平均,Phrase
as a result of,の結果,Phrase
as soon as possible,できるだけ早く,Phrase
as usual,いつものように,Phrase
as well,同様に,Phrase
at first,最初は,Phrase
at last,ついに,Phrase
at least,少なくとも,Phrase
at most,多くとも,Phrase
at that time,あの時は,Phrase
be about to,する直前である,Phrase
be afraid of,を恐れる,Phrase
be aware of,に気づいている,Phrase
be concerned with,とかかわりがある,Phrase
be different from,とは異なる,Phrase
be familiar with,に馴染みがある,Phrase
be full of,でいっぱいである,Phrase
be in need of,を必要とする,Phrase
be in trouble,困っている,Phrase
be known as,として知られている,Phrase
be likely to,する可能性が高い,Phrase
be made of,で出来ている,Phrase
be responsible for,に対して責任がある,Phrase
be satisfied with,に満足している,Phrase
be sick/tired of,にうんざりしてる,Phrase
believe in,を信じる,Phrase
believe it or not,信じられないだろうけど,Phrase
belong to,に属している,Phrase
both of,二人（二つ）とも,Phrase
by the way,ところで,Phrase
care for,の面倒を見る,Phrase
change trains,電車を乗り換える,Phrase
count on,を当てにする,Phrase
day after day,毎日,Phrase
depend on,に依存する,Phrase
do a favor,に頼み事を聞く,Phrase
drop by,に立ち寄る,Phrase
enough to,するのに十分,Phrase
example of,の例,Phrase
fall asleep,眠る,Phrase
fall in love with,に恋をする,Phrase
feel free to,気軽にする,Phrase
fill in,に必要事項を記入する,Phrase
for a while,しばらくの間,Phrase
for free,無料で,Phrase
for instance,例えば,Phrase
for the better,より良くなるために,Phrase
from A to B,AからBまで,Phrase
from now,これからは,Phrase
get attention,注意を引く,Phrase
get lost,道に迷う,Phrase
get off,降りる,Phrase
get on,乗り込む,Phrase
get out of,の外に出る,Phrase
get rid of,を取り除く,Phrase
give a ride,を車に乗せる,Phrase
give up,をあきらめる,Phrase
go ahead,先に行く,Phrase
go on a trip,旅行に行く,Phrase
hear from,から連絡をもらう,Phrase
in a hurry,急いで,Phrase
in addition to,に付け加えて,Phrase
in advance,前もって,Phrase
in case ～,～した場合には,Phrase
in conclusion,結論として,Phrase
in detail,詳細に,Phrase
in fact,実際には,Phrase
in front of,の前に,Phrase
instead of,の代わりに,Phrase
just in case,もしもの場合に備えて,Phrase
less than,未満,Phrase
lots of,たくさんの,Phrase
next to,の隣に,Phrase
not  at all,全くない,Phrase
on foot,歩いて,Phrase
on the other hand,一方で,Phrase
out of order,故障して,Phrase
prefer A to B,BよりAを好む,Phrase
rather than,ではなく,Phrase
run away,逃げ去る,Phrase
so that ～,するために,Phrase
stop at,に停まる,Phrase
such as,のような,Phrase
turn  off,を消す,Phrase
turn  on,を点ける,Phrase
up to,まで,Phrase
as a result,結果として，その結果,Phrase
look up,を調べる,Phrase
in the past,過去に,Phrase
take part in,に参加する，参与する,Phrase
dress up,着飾る,Phrase
find out,見つけ出す,Phrase
come up with,を思いつく，を考え出す,Phrase
thanks to,のおかげで，感謝して,Phrase
by the time,するまでには,Phrase
in particular,特に，とりわけ,Phrase
take over,を引き継ぐ,Phrase
in addition,追加として，さらに,Phrase
be filled with,で満たされている，充実している,Phrase
do me a favor,お願いをする,Phrase
get back,取り戻す,Phrase
in spite of,にも関わらず，けれども,Phrase
keep in mind,を心に留めておく,Phrase
on the way to,道の途中で,Phrase
put down,置く,Phrase
rely on,に頼る，を当てにする,Phrase
run out of,を使い果たす，使い尽くす,Phrase
so far,これまでは,Phrase
appeal to,に訴える,Phrase
be good at,～が上手である,Phrase
call off,を中止する,Phrase
in case,万一に備えて，予防するために,Phrase
on average,平均して，平均値で,Phrase
on purpose,故意に，わざと,Phrase
stay away from,離れている，距離がある,Phrase
suffer from,で苦しむ，悩まされる,Phrase
succeed in,に成功する,Phrase
after all,結局，最終的に,Phrase
be popular with,に人気がある,Phrase
be sick of,にうんざりしている,Phrase
be unlikely to,起こりそうにない,Phrase
catch up with,に追いつく，付いていく,Phrase
differ from,とは違って，との違い,Phrase
participate in,に参加する，に加わる,Phrase
sooner or later,遅かれ早かれ,Phrase
similar to,に似ている，類似している,Phrase
show off,見せびらかす,Phrase
turn down,断る,Phrase
fill out,書き込む，記入する,Phrase
look down on,を下に見る,Phrase
plenty of,たくさんの,Phrase
let A do,Aにさせる,Phrase
in order to,～するために，～の目的で,Phrase
not only A but also B,AだけでなくBもまた，Aと同様Bも,Phrase
a number of,たくさんの，多数の,Phrase
end up,最終的に，することになる,Phrase
lead to,に導く，～につながる,Phrase
more and more,ますます多くの，更に,Phrase
by chance,偶然に，たまたま,Phrase
in contrast,対照的に，これに対して,Phrase
in response to,に応じて，に反応して,Phrase
at the same time,同時に，一斉に,Phrase
a variety of,いろいろな，さまざまな,Phrase
reach out,手を延ばす，手を差し出す,Phrase
for fear of,を恐れて，を怖がって,Phrase
on behalf of,の代わりに，代わって,Phrase
on account of,のため，目的の,Phrase
prevent A from B,AをBから防ぐ，AをBから保護する,Phrase
be born with,生まれつき，生来の,Phrase
since then,それ以来，それ以降,Phrase
turn A into B,AをBに(質的に)変える，AをBに(質的に)転換する,Phrase
made of,で出来ている，構成されている,Phrase
make sure,を確かめる，必ず手配する,Phrase
get along,うまくやる，仲良くやる,Phrase
keep up with,に遅れず付いていく，遅れないで追随する,Phrase
invest in,に投資する，に資本を提供する,Phrase
vote for,に賛成する，に投票する,Phrase
apply to,に適用する，に応用する,Phrase
in touch,連絡中，連絡が取れて,Phrase
capable of,ができる，可能で,Phrase
take after,をまねる，に似る,Phrase
guilty of,罪を犯して，違法行為をして,Phrase
work out,練習する，運動する,Phrase
from time to time,時々，偶に,Phrase
in demand,需要のある，求められる,Phrase
stand out,目立つ，すぐれている,Phrase
in the meantime,とりあえず，それまでは,Phrase
to some extent,いくらか，ある程度,Phrase
at any cost,どんな犠牲を払っても，何がなんでも,Phrase
lose face,面子を失う，恥をかく,Phrase
answer for,責任を負う，引き受ける,Phrase
insist on,するように強く求める，強調する,Phrase
not always,必ずしもではない，いつもとは限らない,Phrase
in common,共通して，一般的に,Phrase
be affected by,の影響を受ける，影響される,Phrase
not yet,まだ，今のところ,Phrase
in response,に応じて，に対応して,Phrase
have effects on,に影響を与える，に作用する,Phrase
five senses,五感，感覚器官,Phrase
related to,に関連する，に関わる,Phrase
