conceal,隠す,動詞
enhance,高める,動詞
vigorous,活発な,形容詞
endorse,支持する,動詞
tender,優しい,形容詞
discard,捨てる,動詞
conform,従う,動詞
restrain,抑制する,動詞
testimony,証言,名詞
eliminate,排除する,動詞
feeble,弱々しい,形容詞
cherish,大切にする,動詞
classify,分類する,動詞
surplus,余剰,名詞
tranquil,静かな,形容詞
rash,無謀な,形容詞
gloomy,陰気な,形容詞
petition,請願,名詞
concise,簡潔な,形容詞
coarse,粗い,形容詞
clumsy,不器用な,形容詞
surpass,超える,動詞
awkward,ぎこちない,形容詞
resume,再開する,動詞
thrive,栄える,動詞
diminish,減少する,動詞
dismiss,解雇する,動詞
vicious,悪意のある,形容詞
elevate,高める,動詞
defective,欠陥のある,形容詞
dispatch,発送する,動詞
confine,閉じ込める,動詞
provoke,刺激する,動詞
trivial,ささいな,形容詞
reluctant,気の進まない,形容詞
formulate,策定する,動詞
scatter,散らす,動詞
compile,編集する,動詞
spacious,広々とした,形容詞
deprive,奪う,動詞
pierce,突き刺す,動詞
enforce,施行する,動詞
subtle,微妙な,形容詞
vulnerable,傷つきやすい,形容詞
obstruct,妨害する,動詞
expire,期限が切れる,動詞
rigid,厳格な,形容詞
congestion,混雑,名詞
revolt,反乱,名詞
weary,疲れた,形容詞
vivid,鮮やかな,形容詞
ransom,身代金,名詞
summon,呼び出す,動詞
habitual,習慣的な,形容詞
harass,悩ます,動詞
tame,飼いならす,動詞
vacant,空いている,形容詞
notorious,悪名高い,形容詞
moderate,適度な,形容詞
disclose,開示する,動詞
eject,追い出す,動詞
concede,認める,動詞
obsolete,時代遅れの,形容詞
accommodate,収容する,動詞
withdraw,撤回する,動詞
violate,違反する,動詞
retreat,退却する,動詞
feasible,実行可能な,形容詞
generate,生み出す,動詞
stubborn,頑固な,形容詞
obedient,従順な,形容詞
symptom,症状,名詞
durable,耐久性のある,形容詞
legible,読みやすい,形容詞
amenity,備品,名詞
discharge,放出,名詞
skeptical,懐疑的な,形容詞
elaborate,精巧な,形容詞
impose,課す,動詞
expel,追放する,動詞
assemble,組み立てる,動詞
redeem,買い戻す,動詞
seize,捕らえる,動詞
encounter,遭遇する,動詞
uphold,支持する,動詞
assume,仮定する,動詞
crucial,極めて重要な,形容詞
prevail,普及する,動詞
irrelevant,無関係な,形容詞
reconcile,和解させる,動詞
compel,強制する,動詞
condemn,非難する,動詞
transmit,送信する,動詞
strain,負担,名詞
suppress,抑圧する,動詞
exert,行使する,動詞
wreck,破壊する,動詞
dispute,論争,名詞
subjective,主観的な,形容詞
radical,根本的な,形容詞
proclaim,宣言する,動詞
impair,損なう,動詞
duplicate,複製する,動詞
enrollment,登録,名詞
devote,捧げる,動詞
perspective,視点,名詞
dubious,疑わしい,形容詞
detention,拘留,名詞
deploy,配置する,動詞
penetrate,貫通する,動詞
yield,産出する,動詞
demote,降格させる,動詞
compartment,区画,名詞
abolish,廃止する,動詞
decay,腐敗する,動詞
riot,暴動,名詞
fragile,壊れやすい,形容詞
blunt,鈍い,形容詞
embrace,抱きしめる,動詞
redundant,余分な,形容詞
intact,無傷の,形容詞
litter,散らかす,動詞
spontaneous,自発的な,形容詞
enroll,登録する,動詞
clarify,明確にする,動詞
pathetic,哀れな,形容詞
offensive,不快な,形容詞
exceed,超える,動詞
cynical,冷笑的な,形容詞
obsess,取りつかれる,動詞
petty,ささいな,形容詞
corrupt,堕落した,形容詞
mold,型,名詞
assumption,仮定,名詞
evade,回避する,動詞
earnest,真剣な,形容詞
mimic,模倣する,動詞
mutual,相互の,形容詞
cultivate,耕す,動詞
literacy,識字能力,名詞
hectic,慌ただしい,形容詞
hasty,急ぎの,形容詞
stale,古くなった,形容詞
appliance,電化製品,名詞
prompt,迅速な,形容詞
decisive,決定的な,形容詞
soak,浸す,動詞
bait,餌,名詞
daring,大胆な,形容詞
foster,促進する,動詞
coalition,連合,名詞
distress,苦悩,名詞
friction,摩擦,名詞
serene,穏やかな,形容詞
blaze,炎,名詞
magnify,拡大する,動詞
revolve,回転する,動詞
sway,揺れる,動詞
tragic,悲劇的な,形容詞
cowardly,臆病な,形容詞
detain,拘留する,動詞
pledge,誓約,名詞
modest,謙虚な,形容詞
exhaust,疲れさせる,動詞
erupt,噴火する,動詞
punctuality,時間厳守,名詞
conventional,従来の,形容詞
acquaint,知らせる,動詞
digest,消化する,動詞
chaotic,混沌とした,形容詞
coherent,首尾一貫した,形容詞
refrain,控える,動詞
stun,気絶させる,動詞
devastate,壊滅させる,動詞
demolish,取り壊す,動詞
affluent,裕福な,形容詞
altitude,高度,名詞
mingle,混ざる,動詞
merge,合併する,動詞
breakthrough,進歩,名詞
fierce,激しい,形容詞
betray,裏切る,動詞
dilute,薄める,動詞
bearable,耐えられる,形容詞
audible,聞こえる,形容詞
edible,食用の,形容詞
calamity,災難,名詞
authentic,本物の,形容詞
overhaul,分解修理,名詞
overlook,見落とす,動詞
faint,かすかな,形容詞
acknowledge,認める,動詞
justify,正当化する,動詞
condense,凝縮する,動詞
envelop,包み込む,動詞
uniform,制服,名詞
degrade,劣化させる,動詞
remote,遠隔の,形容詞
presume,推定する,動詞
passive,受動的な,形容詞
waver,揺らぐ,動詞
ridicule,あざける,動詞
extinguish,消す,動詞
evaporate,蒸発する,動詞
blissful,至福の,形容詞
collide,衝突する,動詞
conspire,共謀する,動詞
compulsory,義務的な,形容詞
virtually,事実上,副詞
trace,痕跡,名詞
divert,そらす,動詞
evacuate,避難させる,動詞
consecutive,連続した,形容詞
outgoing,外向的な,形容詞
discreet,慎重な,形容詞
courteous,礼儀正しい,形容詞
tenant,借家人,名詞
prestigious,一流の,形容詞
premature,時期尚早の,形容詞
instrumental,重要な,形容詞
consent,同意,名詞
delegate,委任する,動詞
extensive,広範囲の,形容詞
barren,不毛の,形容詞
superficial,表面的な,形容詞
imitate,模倣する,動詞
accuse,告発する,動詞
expertise,専門知識,名詞
infamous,悪名高い,形容詞
bid,入札,名詞
deliberately,故意に,副詞
anarchy,無政府状態,名詞
sacrifice,犠牲,名詞
oppress,抑圧する,動詞
deduct,控除する,動詞
deflect,そらす,動詞
invalid,無効な,形容詞
dislocate,脱臼させる,動詞
novelty,目新しさ,名詞
overthrow,打倒する,動詞
displace,移動させる,動詞
acute,鋭い,形容詞
grumble,不平を言う,動詞
stumble,つまずく,動詞
omit,省く,動詞
graze,かする,動詞
ritual,儀式,名詞
lenient,寛大な,形容詞
stern,厳しい,形容詞
disgust,嫌悪,名詞
meditation,瞑想,名詞
segment,部分,名詞
domestication,家畜化,名詞
slack,緩み,名詞
fatigue,疲労,名詞
expand,拡大する,動詞
tremble,震える,動詞
insistent,しつこい,形容詞
hesitant,ためらう,形容詞
verify,検証する,動詞
grip,掴む,動詞
flaw,欠陥,名詞
escort,護衛する,動詞
cozy,居心地の良い,形容詞
simulate,模倣する,動詞
deflate,しぼむ,動詞
designate,指定する,動詞
trespass,不法侵入する,動詞
modify,修正する,動詞
defensive,防御的な,形容詞
deficit,赤字,名詞
scrap,屑,名詞
clarity,明確さ,名詞
bulky,かさばる,形容詞
insight,洞察,名詞
token,印,名詞
numb,麻痺した,形容詞
indifferent,無関心な,形容詞
arrogance,傲慢,名詞
conclusive,決定的な,形容詞
sequel,続編,名詞
grasp,把握する,動詞
peculiar,奇妙な,形容詞
genuine,本物の,形容詞
dread,恐れる,動詞
mercy,慈悲,名詞
charitable,慈善の,形容詞
heritage,遺産,名詞
inflict,与える,動詞
detach,分離する,動詞
administer,管理する,動詞
fictitious,架空の,形容詞
component,部品,名詞
limitation,制限,名詞
furious,激怒した,形容詞
witty,機知に富んだ,形容詞
bystander,傍観者,名詞
boundary,境界,名詞
discriminate,区別する,動詞
esteem,尊敬,名詞
arrogant,傲慢な,形容詞
flatter,おだてる,動詞
offend,怒らせる,動詞
sturdy,頑丈な,形容詞
prejudice,偏見,名詞
evaluate,評価する,動詞
shelter,避難所,名詞
signify,意味する,動詞
lease,賃貸借契約,名詞
heed,留意する,動詞
drowsy,眠い,形容詞
nutritious,栄養のある,形容詞
collapse,崩壊する,動詞
tease,からかう,動詞
contemporary,現代の,形容詞
unfold,広がる,動詞
rotate,回転する,動詞
custody,監禁,名詞
overdue,期限切れの,形容詞
entrust,委ねる,動詞
disgrace,不名誉,名詞
fragment,断片,名詞
suspicious,疑わしい,形容詞
grant,与える,動詞
incorporate,組み込む,動詞
pose,引き起こす,動詞
contemplate,熟考する,動詞
sacred,神聖な,形容詞
tentative,仮の,形容詞
twist,ねじる,動詞
denial,否定,名詞
righteous,正しい,形容詞
haunt,出没する,動詞
thaw,溶ける,動詞
cheery,陽気な,形容詞
vain,無駄な,形容詞
increase,増加する；を増やす,動詞
improve,を向上させる；よくなる,動詞
mean,を意味する；つもりである,動詞
own,を所有している；を認める,動詞
include,を含む,動詞
consider,を見なす；について考える,動詞
allow,を許す；を与える,動詞
suggest,を提案する；を暗示する,動詞
produce,を生産する；を取り出す,動詞
decide,を決める；に決着をつける,動詞
offer,を提供する；申し出る,動詞
require,を要求する；を必要とする,動詞
share,を共有する；を分担する,動詞
store,を保存する；を蓄える,動詞
tend,傾向がある；を世話する,動詞
concern,心配している；関係する,動詞
describe,について述べる；を説明する,動詞
involve,を関与させる；を伴う,動詞
reduce,を減らす；を変える,動詞
design,を設計する；を計画する,動詞
force,に強いる；を強要する,動詞
limit,を制限する,動詞
bear,に耐える；を負う；を産む,動詞
affect,に影響を及ぼす；を感動させる,動詞
deal,を処理する；を商う,動詞
avoid,を避ける,動詞
relate,を関連づける；関連する,動詞
realize,に気づく；を実現する,動詞
encourage,を奨励する；を励ます,動詞
compare,を比較する；をたとえる,動詞
measure,を測る；を評価する,動詞
exist,存在する；生存する,動詞
mark,に印をつける；を示す,動詞
challenge,に異議を唱える；に挑む,動詞
depend,頼る；次第である,動詞
object,反対する；言って反対する,動詞
demand,を要求する,動詞
found,を設立する；を築く,動詞
complete,を完成させる；仕上げる,動詞
idea,考え；思いつき；概念,名詞
accord,一致；協定,名詞
company,会社；仲間,名詞
interest,興味；利子；利害,名詞
research,研究；調査,名詞
cause,原因；理由；大義,名詞
reason,理由；根拠,名詞
effect,影響；効果；結果,名詞
influence,影響力,名詞
situation,状況；立場,名詞
environment,環境,名詞
skill,技能；熟練,名詞
matter,事柄；問題,名詞
view,見解；見方,名詞
value,価値；価格,名詞
species,種；種類,名詞
thought,考え；思考,名詞
knowledge,知識,名詞
memory,記憶；思い出,名詞
practice,実践；慣習,名詞
benefit,利益；恩恵,名詞
theory,学説；理論,名詞
issue,問題；発行,名詞
experiment,実験,名詞
article,記事；条項,名詞
focus,焦点,名詞
subject,話題；科目,名詞
project,計画；事業,名詞
quality,質,名詞
role,役割,名詞
term,用語；条件,名詞
statement,声明；主張,名詞
material,材料；資料,名詞
evidence,証拠,名詞
source,源；出所,名詞
community,社会；地域,名詞
technology,科学技術,名詞
culture,文化,名詞
appropriate,適切な,形容詞
likely,ありそうな,形容詞
possible,可能な,形容詞
individual,個々の,形容詞
public,公の,形容詞
common,共通の；普通の,形容詞
certain,確かな,形容詞
similar,似ている,形容詞
recent,最近の,形容詞
major,主要な,形容詞
patient,忍耐強い,形容詞
particular,特定の,形容詞
physical,身体の,形容詞
various,さまざまな,形容詞
available,手に入る,形容詞
native,出生地の,形容詞
political,政治上の,形容詞
due,予定された,形容詞
blank,空白の,形容詞
ancient,古代の,形容詞
correct,正しい,形容詞
despite,～にもかかわらず,前置詞
notice,に気づく,動詞
refer,言及する,動詞
approach,に近づく,動詞
wonder,かなと思う,動詞
imagine,を想像する,動詞
recognize,を識別する,動詞
solve,を解く,動詞
occur,起こる,動詞
argue,と主張する,動詞
claim,と主張する,動詞
express,を表す,動詞
draw,を引き出す,動詞
waste,を浪費する,動詞
advance,を進歩させる,動詞
spread,を広める,動詞
prepare,を準備する,動詞
gain,を獲得する,動詞
achieve,を達成する,動詞
establish,を確立する,動詞
supply,を供給する,動詞
suppose,と思う,動詞
perform,を行う,動詞
prefer,のほうを好む,動詞
determine,を決定する,動詞
treat,を扱う,動詞
prove,を証明する,動詞
apply,を適用する,動詞
mention,に言及する,動詞
communicate,情報交換をする,動詞
contain,を含む,動詞
contact,と連絡を取る,動詞
regard,を見なす,動詞
respect,を尊敬する,動詞
search,捜す,動詞
connect,をつなぐ,動詞
decline,減少する,動詞
prevent,を妨げる,動詞
suffer,苦しむ,動詞
survive,を切り抜けて生き残る,動詞
publish,を出版する,動詞
opportunity,機会,名詞
task,仕事；課題,名詞
industry,産業,名詞
medium,媒体,名詞
economy,経済,名詞
policy,政策,名詞
account,説明,名詞
trade,貿易,名詞
model,模範,名詞
figure,数字,名詞
cell,細胞,名詞
image,イメージ,名詞
emotion,感情,名詞
stress,ストレス,名詞
decade,10年間,名詞
range,範囲,名詞
character,性格,名詞
advantage,利点,名詞
phrase,句,名詞
damage,損害,名詞
impact,影響,名詞
method,方法,名詞
resource,資源,名詞
region,地域,名詞
medicine,薬,名詞
detail,詳細,名詞
feature,特徴,名詞
function,機能,名詞
access,利用,名詞
item,品目,名詞
income,収入,名詞
attitude,態度,名詞
site,場所,名詞
aspect,側面,名詞
structure,構造,名詞
habit,習慣,名詞
link,関連,名詞
instance,例,名詞
positive,肯定的な,形容詞
negative,否定的な,形容詞
complex,複雑な,形容詞
current,現在の,形容詞
mental,精神の,形容詞
specific,特定の,形容詞
significant,重要な,形容詞
essential,必要不可欠な,形容詞
official,公式の,形容詞
financial,財政上の,形容詞
academic,学問の,形容詞
aware,気づいて,形容詞
worth,価値がある,形容詞
potential,潜在的な,形容詞
active,積極的な,形容詞
digital,デジタル方式の,形容詞
mobile,可動式の,形容詞
novel,斬新な,形容詞
plastic,柔軟な,形容詞
chemical,化学的な,形容詞
necessary,必要な,形容詞
eventually,結局,副詞
identify,を特定する,動詞
represent,を表す,動詞
indicate,を指し示す,動詞
manage,をなんとか成し遂げる,動詞
attend,に出席する,動詞
maintain,を維持する,動詞
survey,を調査する,動詞
replace,に取って代わる,動詞
sort,を分類する,動詞
conduct,を実施する,動詞
associate,を結び付ける,動詞
attempt,を試みる,動詞
promote,を促進する,動詞
earn,を稼ぐ,動詞
unite,を団結させる,動詞
feed,に食べ物を与える,動詞
seek,を追い求める,動詞
observe,に気づく,動詞
reveal,を明らかにする,動詞
estimate,と推定する,動詞
reflect,を反映する,動詞
attract,を引きつける,動詞
decrease,減少する,動詞
ignore,を無視する,動詞
match,合う,動詞
define,を定義する,動詞
adapt,適応する,動詞
contribute,貢献する,動詞
exchange,を交換する,動詞
display,を示す,動詞
respond,反応する,動詞
hide,を隠す,動詞
doubt,ではないと思う,動詞
remove,を取り除く,動詞
wind,を巻く,動詞
relax,くつろぐ,動詞
satisfy,を満足させる,動詞
desire,を強く望む,動詞
succeed,成功する,動詞
concept,概念,名詞
fashion,流行,名詞
device,装置,名詞
charge,料金,名詞
contrast,対照,名詞
colleague,同僚,名詞
pain,苦痛,名詞
bill,請求書,名詞
content,内容,名詞
section,部門,名詞
audience,聴衆,名詞
surface,表面,名詞
crop,作物,名詞
topic,話題,名詞
technique,技術,名詞
status,地位,名詞
option,選択肢,名詞
reward,報酬,名詞
race,人種,名詞
crime,犯罪,名詞
conflict,争い,名詞
struggle,闘い,名詞
context,状況,名詞
debate,討論,名詞
fuel,燃料,名詞
pollution,汚染,名詞
trend,傾向,名詞
balance,均衡,名詞
traffic,交通,名詞
strategy,戦略,名詞
basis,基礎,名詞
consequence,結果,名詞
aim,目的,名詞
ancestor,祖先,名詞
gene,遺伝子,名詞
track,跡,名詞
revolution,革命,名詞
progress,進歩,名詞
cognitive,認知の,形容詞
ideal,理想的な,形容詞
efficient,効率的な,形容詞
universal,普遍的な,形容詞
vast,莫大な,形容詞
extra,追加の,形容詞
entire,全体の,形容詞
familiar,精通している,形容詞
obvious,明らかな,形容詞
moral,道徳的な,形容詞
ordinary,一般の,形容詞
equal,等しい,形容詞
previous,以前の,形容詞
false,間違った,形容詞
rare,まれな,形容詞
legal,法律の,形容詞
independent,独立した,形容詞
extreme,極端な,形容詞
actual,実際の,形容詞
willing,いとわない,形容詞
urban,都市の,形容詞
whereas,～するのに対し,接続詞
predict,を予言する,動詞
examine,を調べる,動詞
trust,を信頼する,動詞
stick,を動けなくする,動詞
emerge,現れる,動詞
vary,さまざまである,動詞
release,を放出する,動詞
divide,を分ける,動詞
enable,を可能にする,動詞
judge,を判断する,動詞
rely,頼る,動詞
engage,を従事させる,動詞
shift,を変える,動詞
adopt,を採用する,動詞
acquire,を得る,動詞
refuse,を拒む,動詞
strike,の心を打つ,動詞
repeat,を繰り返す,動詞
consume,を消費する,動詞
confuse,を混同する,動詞
select,を選ぶ,動詞
evolve,発展する,動詞
convince,を納得させる,動詞
recall,を思い出す,動詞
destroy,を破壊する,動詞
preserve,を保存する,動詞
organize,を準備する,動詞
warn,に警告する,動詞
address,に対処する,動詞
operate,を操作する,動詞
participate,参加する,動詞
surround,を取り巻く,動詞
flow,流れる,動詞
bore,を退屈させる,動詞
complain,不平を言う,動詞
host,を主催する,動詞
combine,を結び付ける,動詞
extend,を伸ばす,動詞
appreciate,を正当に評価する,動詞
target,目標,名詞
element,要素,名詞
principle,原則,名詞
phenomenon,現象,名詞
atmosphere,大気,名詞
origin,起源,名詞
personality,個性,名詞
capacity,容量,名詞
profit,利益,名詞
circumstance,状況,名詞
manner,作法,名詞
threat,脅威,名詞
resident,居住者,名詞
wealth,富,名詞
institution,機関,名詞
authority,当局,名詞
vote,投票,名詞
sight,光景,名詞
campaign,運動,名詞
fund,基金,名詞
web,ウェブ,名詞
symbol,象徴,名詞
analysis,分析,名詞
version,版,名詞
crisis,危機,名詞
disaster,災害,名詞
lecture,講義,名詞
psychology,心理学,名詞
gender,性別,名詞
custom,慣習,名詞
court,裁判所,名詞
desert,砂漠,名詞
soil,土地,名詞
agriculture,農業,名詞
fossil,化石,名詞
document,文書,名詞
vocabulary,語彙,名詞
intelligent,聡明な,形容詞
conscious,意識して,形容詞
capable,能力がある,形容詞
accurate,正確な,形容詞
fundamental,基本的な,形容詞
artificial,人工の,形容詞
firm,確固たる,形容詞
overall,総合的な,形容詞
rural,田舎の,形容詞
military,軍の,形容詞
nuclear,核の,形容詞
biological,生物学的な,形容詞
constant,絶え間ない,形容詞
severe,厳しい,形容詞
visual,視覚の,形容詞
enormous,巨大な,形容詞
convenient,便利な,形容詞
domestic,家庭の,形容詞
mass,大規模な,形容詞
typical,典型的な,形容詞
overseas,海外で,副詞
nevertheless,それでも,副詞
demonstrate,を論証する,動詞
behave,振る舞う,動詞
educate,を教育する,動詞
purchase,を購入する,動詞
recommend,を勧める,動詞
admit,を認める,動詞
explore,を調査する,動詞
amaze,をびっくりさせる,動詞
tear,を引き裂く,動詞
settle,を解決する,動詞
afford,を持つ余裕がある,動詞
conclude,と結論づける,動詞
advertise,を宣伝する,動詞
remind,に思い出させる,動詞
locate,位置する,動詞
aid,を援助する,動詞
bite,をかむ,動詞
deliver,を配達する,動詞
perceive,に気づく,動詞
distinguish,を区別する,動詞
imply,を暗に意味する,動詞
handle,を処理する,動詞
praise,を賞賛する,動詞
appeal,訴える,動詞
insist,を強く主張する,動詞
compete,競う,動詞
rank,を位置づける,動詞
deny,を否定する,動詞
reject,を拒否する,動詞
intend,を意図する,動詞
expose,をさらす,動詞
favor,に賛成する,動詞
inspire,を奮起させる,動詞
propose,を提案する,動詞
spell,をつづる,動詞
breathe,呼吸する,動詞
repair,を修理する,動詞
consist,成る,動詞
comment,意見,名詞
instruction,指示,名詞
religion,宗教,名詞
neighborhood,地域,名詞
laboratory,実験室,名詞
presence,存在,名詞
confidence,自信,名詞
harm,害,名詞
instrument,器具,名詞
category,部類,名詞
capital,資本,名詞
outcome,結果,名詞
notion,概念,名詞
review,論評,名詞
trait,特性,名詞
diversity,多様性,名詞
victim,犠牲者,名詞
occasion,場合,名詞
facility,施設,名詞
stock,在庫品,名詞
conference,会議,名詞
humanity,人類,名詞
dialect,方言,名詞
proportion,割合,名詞
tip,助言,名詞
lawyer,弁護士,名詞
stuff,物,名詞
comfort,快適さ,名詞
philosophy,哲学,名詞
mammal,哺乳動物,名詞
quantity,量,名詞
landscape,風景,名詞
tribe,部族,名詞
organ,器官,名詞
trial,試み,名詞
norm,規範,名詞
code,規範,名詞
substance,物質,名詞
multiple,多様な,形容詞
numerous,非常に数の多い,形容詞
narrow,狭い,形容詞
widespread,広く普及した,形容詞
sufficient,十分な,形容詞
proper,適切な,形容詞
linguistic,言語の,形容詞
annual,年1回の,形容詞
contrary,反対の,形容詞
strict,厳しい,形容詞
civil,市民の,形容詞
odd,奇妙な,形容詞
unknown,不明の,形容詞
superior,よりすぐれた,形容詞
sensitive,敏感な,形容詞
violent,激しい,形容詞
virtual,仮想の,形容詞
regardless,かまわない,形容詞
immediate,即座の,形容詞
somewhat,いくぶん,副詞
interpret,を解釈する,動詞
translate,を翻訳する,動詞
concentrate,を集中する,動詞
request,に頼む,動詞
criticize,を批判する,動詞
overcome,を克服する,動詞
obtain,を得る,動詞
inform,に知らせる,動詞
ensure,を確実にする,動詞
announce,を発表する,動詞
freeze,凍る,動詞
oppose,に反対する,動詞
differ,異なる,動詞
hate,をひどく嫌う,動詞
emphasize,を強調する,動詞
employ,を雇う,動詞
credit,を帰する,動詞
transform,を変える,動詞
construct,を建設する,動詞
arise,生じる,動詞
beat,を打ち負かす,動詞
regret,を後悔する,動詞
alter,を変える,動詞
absorb,を吸収する,動詞
disappoint,を失望させる,動詞
cure,を治す,動詞
transport,を輸送する,動詞
rush,急いで行く,動詞
hang,を掛ける,動詞
blame,を責める,動詞
ban,を禁止する,動詞
fascinate,を魅了する,動詞
recover,回復する,動詞
celebrate,を祝う,動詞
manufacture,を製造する,動詞
interact,影響し合う,動詞
arrange,の段取りをつける,動詞
adjust,を調整する,動詞
confirm,を確認する,動詞
innovation,革新,名詞
budget,予算,名詞
fee,料金,名詞
expense,経費,名詞
debt,借金,名詞
loan,貸付金,名詞
duty,義務,名詞
alarm,不安,名詞
emergency,緊急事態,名詞
democracy,民主主義,名詞
minister,大臣,名詞
fellow,仲間,名詞
candidate,候補者,名詞
corporation,企業,名詞
stereotype,固定観念,名詞
route,道,名詞
disorder,障害,名詞
depression,憂うつ,名詞
weapon,兵器,名詞
immigration,移民,名詞
barrier,障壁,名詞
disadvantage,不利,名詞
mood,気分,名詞
motion,動き,名詞
routine,決まり切った仕事,名詞
discipline,規律,名詞
myth,作り話,名詞
hypothesis,仮説,名詞
physician,医師,名詞
client,顧客,名詞
colony,植民地,名詞
statistics,統計,名詞
grain,穀物,名詞
ingredient,材料,名詞
treasure,宝物,名詞
contract,契約,名詞
welfare,福祉,名詞
prime,主要な,形容詞
curious,好奇心の強い,形容詞
dramatic,劇的な,形容詞
distinct,明らかに異なる,形容詞
anxious,心配して,形容詞
vital,必要不可欠な,形容詞
abstract,抽象的な,形容詞
minor,重要でない,形容詞
extraordinary,並はずれた,形容詞
stable,安定した,形容詞
flexible,融通の利く,形容詞
brief,簡潔な,形容詞
aggressive,攻撃的な,形容詞
visible,見える,形容詞
unexpected,思いがけない,形容詞
ethnic,民族の,形容詞
alien,異質の,形容詞
initial,初めの,形容詞
exact,正確な,形容詞
precise,正確な,形容詞
latter,後者の,形容詞
commit,献身する,動詞
stimulate,を刺激する,動詞
pursue,を追求する,動詞
react,反応する,動詞
disagree,不賛成である,動詞
stare,じっと見る,動詞
abandon,を捨てる,動詞
quit,をやめる,動詞
capture,をとらえる,動詞
transfer,を移す,動詞
bother,を悩ます,動詞
persuade,を説得する,動詞
rent,を賃借りする,動詞
breed,を繁殖させる,動詞
invest,を投資する,動詞
reserve,を予約する,動詞
illustrate,を説明する,動詞
advise,に忠告する,動詞
convey,を伝える,動詞
attach,を付ける,動詞
stretch,を伸ばす,動詞
puzzle,を当惑させる,動詞
disturb,をかき乱す,動詞
crash,衝突する,動詞
cope,うまく処理する,動詞
permit,を許可する,動詞
impress,を感動させる,動詞
suspect,ではないかと思う,動詞
upset,を動揺させる,動詞
frighten,を怖がらせる,動詞
import,を輸入する,動詞
export,を輸出する,動詞
investigate,を調査する,動詞
monitor,を監視する,動詞
calculate,を計算する,動詞
ease,を軽減する,動詞
launch,を開始する,動詞
sequence,連続,名詞
therapy,療法,名詞
incident,出来事,名詞
witness,目撃者,名詞
sum,額,名詞
burden,負担,名詞
tone,口調,名詞
honor,名誉,名詞
award,賞,名詞
priority,優先事項,名詞
logic,論理,名詞
minimum,最小限度,名詞
exception,例外,名詞
clue,手がかり,名詞
bond,絆,名詞
virus,ウイルス,名詞
surgery,手術,名詞
insurance,保険,名詞
frame,枠,名詞
territory,領土,名詞
habitat,生息地,名詞
district,地区,名詞
conservation,保護,名詞
harvest,収穫,名詞
predator,捕食動物,名詞
trap,わな,名詞
trick,こつ,名詞
fault,責任,名詞
discount,割引,名詞
bias,偏見,名詞
cooperation,協力,名詞
patent,特許,名詞
dialogue,対話,名詞
reputation,評判,名詞
verbal,言葉の,形容詞
internal,内部の,形容詞
solid,しっかりした,形容詞
principal,主要な,形容詞
sophisticated,高性能の,形容詞
equivalent,等しい,形容詞
rational,理性的な,形容詞
relevant,関係がある,形容詞
absolute,絶対的な,形容詞
frequent,頻繁な,形容詞
permanent,永続的な,形容詞
intense,強烈な,形容詞
meaningful,意味のある,形容詞
evil,邪悪な,形容詞
extinct,絶滅した,形容詞
random,無作為の,形容詞
raw,生の,形容詞
rude,無礼な,形容詞
mere,単なる,形容詞
tropical,熱帯の,形容詞
forth,前へ,副詞
possess,を所有している,動詞
dominate,を支配する,動詞
guarantee,を保証する,動詞
melt,溶ける,動詞
embarrass,に恥ずかしい思いをさせる,動詞
discourage,にやる気をなくさせる,動詞
detect,を感知する,動詞
urge,に促す,動詞
lend,を貸す,動詞
restrict,を制限する,動詞
isolate,を孤立させる,動詞
accompany,に同行する,動詞
annoy,を悩ます,動詞
endanger,を危険にさらす,動詞
admire,に敬服する,動詞
declare,を宣言する,動詞
secure,を確保する,動詞
specialize,専門とする,動詞
attribute,を帰する,動詞
pretend,のふりをする,動詞
bury,を埋める,動詞
reverse,を逆転させる,動詞
resist,に抵抗する,動詞
scare,をおびえさせる,動詞
assist,を援助する,動詞
resemble,に似ている,動詞
retire,引退する,動詞
neglect,をおろそかにする,動詞
reform,を改革する,動詞
protest,に抗議する,動詞
owe,に借りがある,動詞
sustain,を持続させる,動詞
assign,を割り当てる,動詞
accomplish,を成し遂げる,動詞
wisdom,知恵,名詞
mission,使命,名詞
license,免許,名詞
elite,エリート,名詞
layer,層,名詞
motor,モーター,名詞
protein,たんぱく質,名詞
profession,職業,名詞
editor,編集者,名詞
agent,仲介者,名詞
globe,地球,名詞
haven,避難所,名詞
row,列,名詞
means,手段,名詞
session,集まり,名詞
league,連盟,名詞
contest,コンテスト,名詞
guard,警備員,名詞
opponent,相手,名詞
glance,ちらりと見ること,名詞
divorce,離婚,名詞
tissue,組織,名詞
liquid,液体,名詞
inequality,不平等,名詞
justice,正義,名詞
guideline,指針,名詞
platform,プラットフォーム,名詞
sector,部門,名詞
channel,チャンネル,名詞
glacier,氷河,名詞
primate,霊長目の動物,名詞
usage,用法,名詞
fortune,財産,名詞
correlation,相関関係,名詞
artistic,芸術的な,形容詞
literary,文学の,形容詞
classic,第一級の,形容詞
liberal,自由主義の,形容詞
concrete,具体的な,形容詞
slight,わずかな,形容詞
federal,連邦の,形容詞
primitive,原始的な,形容詞
unfamiliar,不慣れな,形容詞
plain,明らかな,形容詞
marine,海の,形容詞
apparent,明白な,形容詞
